Data,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
LSB: Population (Estimated-single age),0203 Khoua,2020,27421,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1801 Anouvong,2020,772,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1801 Anouvong,2021,771,,,,,
LSB: Children under 5 years (Estimated),0404 Nga,2023,4890,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1801 Anouvong,2022,773,,,,,
LSB: Children under 5 years (Estimated),0404 Nga,2022,4978,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1801 Anouvong,2023,774,,,,,
LSB: Children under 5 years (Estimated),0404 Nga,2021,5065,,,,,
LSB: Population (Estimated-single age),0203 Khoua,2019,27348,,,,,
LSB: Children under 5 years (Estimated),0404 Nga,2020,5146,,,,,
LSB: Population (Estimated-single age),0203 Khoua,2018,27272,,,,,
LSB: Population (Estimated-single age),1603 Bachiangchaleunsouk,2016,59492,,,,,
LSB: Population (Estimated-single age),1603 Bachiangchaleunsouk,2015,58474,,,,,
LSB: Population (Estimated-single age),1603 Bachiangchaleunsouk,2018,61543,,,,,
LSB: Population (Estimated-single age),1603 Bachiangchaleunsouk,2017,60514,,,,,
LSB: Births Live (Estimated),0701 Xamnua,2015,1724,,,,,
LSB: Population (Estimated-single age),1603 Bachiangchaleunsouk,2019,62574,,,,,
LSB: Births Live (Estimated),0701 Xamnua,2016,1694,,,,,
LSB: Births Live (Estimated),0701 Xamnua,2017,1665,,,,,
LSB: Births Live (Estimated),0701 Xamnua,2018,1640,,,,,
LSB: Births Live (Estimated),0701 Xamnua,2019,1614,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0107 Hatxayfong,2020,33599,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0107 Hatxayfong,2015,31745,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0107 Hatxayfong,2017,32572,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0107 Hatxayfong,2016,32189,,,,,
LSB: Population (Estimated-single age),1603 Bachiangchaleunsouk,2021,64608,,,,,
LSB: Survival under 1 year (Estimated),0502 Tonpheung,2020,784,,,,,
LSB: Population (Estimated-single age),1603 Bachiangchaleunsouk,2020,63575,,,,,
LSB: Survival under 1 year (Estimated),0502 Tonpheung,2021,773,,,,,
LSB: Population (Estimated-single age),1603 Bachiangchaleunsouk,2023,66673,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0107 Hatxayfong,2019,33254,,,,,
LSB: Survival under 1 year (Estimated),0502 Tonpheung,2022,763,,,,,
LSB: Population (Estimated-single age),1603 Bachiangchaleunsouk,2022,65646,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0107 Hatxayfong,2018,32920,,,,,
LSB: Survival under 1 year (Estimated),0502 Tonpheung,2023,751,,,,,
LSB: Births Live (Estimated),0701 Xamnua,2020,1586,,,,,
LSB: Births Live (Estimated),0701 Xamnua,2021,1551,,,,,
LSB: Births Live (Estimated),0701 Xamnua,2022,1515,,,,,
LSB: Births Live (Estimated),0701 Xamnua,2023,1474,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1210 Khounkham,2023,6922,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1210 Khounkham,2022,6833,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1210 Khounkham,2021,6732,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1210 Khounkham,2020,6622,,,,,
LSB: Survival under 1 year (Estimated),0502 Tonpheung,2015,902,,,,,
LSB: Survival under 1 year (Estimated),0502 Tonpheung,2016,789,,,,,
LSB: Survival under 1 year (Estimated),0502 Tonpheung,2017,789,,,,,
LSB: Survival under 1 year (Estimated),0502 Tonpheung,2018,789,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0107 Hatxayfong,2022,34367,,,,,
LSB: Survival under 1 year (Estimated),0502 Tonpheung,2019,786,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0107 Hatxayfong,2021,33971,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0107 Hatxayfong,2023,34781,,,,,
LSB: Survival under 1 year (Estimated),1703 Sanamxai,2023,1103,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0405 Beng,2022,11583,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0405 Beng,2023,11780,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0405 Beng,2020,11162,,,,,
LSB: Births Live (Estimated),1701 Xaisettha (Attapu),2023,883,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0405 Beng,2021,11375,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0405 Beng,2019,10939,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0405 Beng,2017,10476,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0405 Beng,2018,10711,,,,,
LSB: Survival under 1 year (Estimated),1703 Sanamxai,2022,1115,,,,,
LSB: Survival under 1 year (Estimated),1703 Sanamxai,2021,1126,,,,,
LSB: Survival under 1 year (Estimated),1703 Sanamxai,2020,1135,,,,,
LSB: Survival under 1 year (Estimated),1703 Sanamxai,2015,1034,,,,,
LSB: Survival under 1 year (Estimated),1703 Sanamxai,2019,1148,,,,,
LSB: Survival under 1 year (Estimated),1703 Sanamxai,2018,1157,,,,,
LSB: Survival under 1 year (Estimated),1703 Sanamxai,2017,1165,,,,,
LSB: Survival under 1 year (Estimated),1703 Sanamxai,2016,1170,,,,,
LSB: Survival under 1 year (Estimated),1502 Kalum,2018,717,,,,,
LSB: Births Live (Estimated),1701 Xaisettha (Attapu),2015,856,,,,,
LSB: Survival under 1 year (Estimated),1502 Kalum,2017,721,,,,,
LSB: Survival under 1 year (Estimated),1502 Kalum,2019,712,,,,,
LSB: Births Live (Estimated),1701 Xaisettha (Attapu),2019,886,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0405 Beng,2015,10003,,,,,
LSB: Births Live (Estimated),1701 Xaisettha (Attapu),2018,885,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0405 Beng,2016,10244,,,,,
LSB: Births Live (Estimated),1701 Xaisettha (Attapu),2017,881,,,,,
LSB: Survival under 1 year (Estimated),1502 Kalum,2016,723,,,,,
LSB: Survival under 1 year (Estimated),1502 Kalum,2015,656,,,,,
LSB: Births Live (Estimated),1701 Xaisettha (Attapu),2016,879,,,,,
LSB: Births Live (Estimated),1701 Xaisettha (Attapu),2022,886,,,,,
LSB: Births Live (Estimated),1701 Xaisettha (Attapu),2021,884,,,,,
LSB: Births Live (Estimated),1701 Xaisettha (Attapu),2020,883,,,,,
LSB: Births Live (Estimated),1313 Atsaphon,2015,1526,,,,,
LSB: Births Live (Estimated),1313 Atsaphon,2017,1388,,,,,
LSB: Births Live (Estimated),1313 Atsaphon,2016,1414,,,,,
LSB: Population (Estimated-single age),1010 Hinheup,2019,31860,,,,,
LSB: Population (Estimated-single age),1010 Hinheup,2017,30958,,,,,
LSB: Population (Estimated-single age),1010 Hinheup,2018,31415,,,,,
LSB: Population (Estimated-single age),1010 Hinheup,2015,29971,,,,,
LSB: Population (Estimated-single age),1010 Hinheup,2016,30464,,,,,
LSB: Population (Estimated-single age),1010 Hinheup,2022,33138,,,,,
LSB: Population (Estimated-single age),0702 Xiangkhoh,2022,27387,,,,,
LSB: Population (Estimated-single age),1010 Hinheup,2023,33526,,,,,
LSB: Population (Estimated-single age),0702 Xiangkhoh,2023,27461,,,,,
LSB: Population (Estimated-single age),1010 Hinheup,2020,32289,,,,,
LSB: Population (Estimated-single age),1010 Hinheup,2021,32711,,,,,
LSB: Population (Estimated-single age),0702 Xiangkhoh,2020,27183,,,,,
LSB: Population (Estimated-single age),0702 Xiangkhoh,2021,27291,,,,,
LSB: Births Live (Estimated),1313 Atsaphon,2022,1286,,,,,
LSB: Births Live (Estimated),1313 Atsaphon,2021,1286,,,,,
LSB: Children under 5 years (Estimated),1805 Longxan,2015,4319,,,,,
LSB: Births Live (Estimated),1313 Atsaphon,2023,1284,,,,,
LSB: Population (Estimated-single age),0702 Xiangkhoh,2019,27052,,,,,
LSB: Births Live (Estimated),1504 Thateng,2020,1046,,,,,
LSB: Births Live (Estimated),1504 Thateng,2021,1059,,,,,
LSB: Population (Estimated-single age),0702 Xiangkhoh,2015,26478,,,,,
LSB: Births Live (Estimated),1504 Thateng,2022,1071,,,,,
LSB: Population (Estimated-single age),0702 Xiangkhoh,2016,26637,,,,,
LSB: Births Live (Estimated),1504 Thateng,2023,1081,,,,,
LSB: Population (Estimated-single age),0702 Xiangkhoh,2017,26782,,,,,
LSB: Births Live (Estimated),1313 Atsaphon,2020,1286,,,,,
LSB: Population (Estimated-single age),0702 Xiangkhoh,2018,26922,,,,,
LSB: Births Live (Estimated),1313 Atsaphon,2019,1323,,,,,
LSB: Births Live (Estimated),1313 Atsaphon,2018,1358,,,,,
LSB: Children under 5 years (Estimated),1805 Longxan,2018,4232,,,,,
LSB: Children under 5 years (Estimated),1805 Longxan,2019,4201,,,,,
LSB: Children under 5 years (Estimated),1805 Longxan,2016,4290,,,,,
LSB: Children under 5 years (Estimated),1805 Longxan,2017,4259,,,,,
LSB: Births Live (Estimated),1504 Thateng,2015,1224,,,,,
LSB: Children under 5 years (Estimated),1805 Longxan,2023,4220,,,,,
LSB: Births Live (Estimated),1504 Thateng,2016,1006,,,,,
LSB: Births Live (Estimated),1504 Thateng,2017,1016,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1405 Vapi,2023,11090,,,,,
LSB: Births Live (Estimated),1504 Thateng,2018,1027,,,,,
LSB: Children under 5 years (Estimated),1805 Longxan,2021,4171,,,,,
LSB: Births Live (Estimated),1504 Thateng,2019,1037,,,,,
LSB: Children under 5 years (Estimated),1805 Longxan,2022,4164,,,,,
LSB: Births Live (Estimated),1403 Toumlan,2015,1077,,,,,
LSB: Births Live (Estimated),1403 Toumlan,2016,802,,,,,
LSB: Children under 5 years (Estimated),1805 Longxan,2020,4168,,,,,
LSB: Births Live (Estimated),1403 Toumlan,2017,808,,,,,
LSB: Births Live (Estimated),1403 Toumlan,2018,811,,,,,
LSB: Births Live (Estimated),1403 Toumlan,2019,814,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1405 Vapi,2022,10908,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1405 Vapi,2021,10723,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1405 Vapi,2020,10530,,,,,
LSB: Births Live (Estimated),1610 Khong,2015,2442,,,,,
LSB: Births Live (Estimated),1610 Khong,2016,2166,,,,,
LSB: Births Live (Estimated),1610 Khong,2017,2131,,,,,
LSB: Births Live (Estimated),1610 Khong,2018,2091,,,,,
LSB: Births Live (Estimated),1610 Khong,2019,2046,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1405 Vapi,2015,9510,,,,,
LSB: Births Live (Estimated),1403 Toumlan,2020,820,,,,,
LSB: Births Live (Estimated),1403 Toumlan,2021,823,,,,,
LSB: Births Live (Estimated),1403 Toumlan,2022,827,,,,,
LSB: Births Live (Estimated),1403 Toumlan,2023,831,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1405 Vapi,2019,10335,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1405 Vapi,2018,10132,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1405 Vapi,2017,9925,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1405 Vapi,2016,9720,,,,,
LSB: Births Live (Estimated),1610 Khong,2020,2000,,,,,
LSB: Births Live (Estimated),1610 Khong,2021,1984,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1105 Khamkeut,2020,18591,,,,,
LSB: Births Live (Estimated),1610 Khong,2022,1968,,,,,
LSB: Births Live (Estimated),1610 Khong,2023,1947,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1105 Khamkeut,2023,19729,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1105 Khamkeut,2022,19352,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1105 Khamkeut,2021,18971,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1210 Khounkham,2022,6369,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1210 Khounkham,2021,6281,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1601 Pakxe,2015,22457,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1210 Khounkham,2023,6445,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1601 Pakxe,2016,22813,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1105 Khamkeut,2017,17413,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1105 Khamkeut,2016,17003,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1105 Khamkeut,2015,16583,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1601 Pakxe,2017,23142,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1601 Pakxe,2018,23457,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1105 Khamkeut,2019,18208,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1601 Pakxe,2019,23742,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1105 Khamkeut,2018,17814,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1208 Xebangfai,2019,8258,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1208 Xebangfai,2018,8136,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1208 Xebangfai,2017,8005,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1208 Xebangfai,2016,7874,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1208 Xebangfai,2015,7741,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1210 Khounkham,2020,6184,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1210 Khounkham,2015,5552,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1102 Thaphabat,2022,7892,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1601 Pakxe,2020,23986,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1601 Pakxe,2021,24203,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1102 Thaphabat,2023,7953,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1210 Khounkham,2017,5826,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1601 Pakxe,2022,24389,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1601 Pakxe,2023,24551,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1210 Khounkham,2016,5691,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1210 Khounkham,2019,6078,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1210 Khounkham,2018,5957,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1102 Thaphabat,2020,7765,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1102 Thaphabat,2021,7827,,,,,
LSB: Births Live (Estimated),1307 Thapangthong,2017,1286,,,,,
LSB: Births Live (Estimated),1307 Thapangthong,2018,1245,,,,,
LSB: Births Live (Estimated),1307 Thapangthong,2015,1276,,,,,
LSB: Births Live (Estimated),1307 Thapangthong,2016,1322,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1208 Xebangfai,2023,8678,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1102 Thaphabat,2019,7696,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1208 Xebangfai,2022,8580,,,,,
LSB: Births Live (Estimated),1307 Thapangthong,2019,1200,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1208 Xebangfai,2021,8482,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1208 Xebangfai,2020,8371,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0905 Mok,2020,3922,,,,,
LSB: Births Live (Estimated),1005 Vangviang,2023,1111,,,,,
LSB: Births Live (Estimated),1005 Vangviang,2022,1108,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0905 Mok,2023,4261,,,,,
LSB: Births Live (Estimated),0301 Namtha,2015,1478,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0905 Mok,2022,4149,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0905 Mok,2021,4034,,,,,
LSB: Births Live (Estimated),0301 Namtha,2016,1585,,,,,
LSB: Births Live (Estimated),1307 Thapangthong,2020,1148,,,,,
LSB: Births Live (Estimated),1307 Thapangthong,2021,1130,,,,,
LSB: Births Live (Estimated),1005 Vangviang,2021,1105,,,,,
LSB: Births Live (Estimated),1005 Vangviang,2020,1103,,,,,
LSB: Births Live (Estimated),1307 Thapangthong,2022,1108,,,,,
LSB: Births Live (Estimated),1307 Thapangthong,2023,1085,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1204 Hinboun,2018,1230,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1204 Hinboun,2019,1197,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1204 Hinboun,2016,1308,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1204 Hinboun,2017,1259,,,,,
LSB: Births Live (Estimated),1005 Vangviang,2019,1126,,,,,
LSB: Births Live (Estimated),1005 Vangviang,2016,1188,,,,,
LSB: Births Live (Estimated),0301 Namtha,2020,1460,,,,,
LSB: Births Live (Estimated),0301 Namtha,2021,1444,,,,,
LSB: Births Live (Estimated),1005 Vangviang,2015,1481,,,,,
LSB: Births Live (Estimated),0301 Namtha,2022,1429,,,,,
LSB: Births Live (Estimated),1005 Vangviang,2018,1148,,,,,
LSB: Births Live (Estimated),0301 Namtha,2023,1413,,,,,
LSB: Births Live (Estimated),1005 Vangviang,2017,1168,,,,,
LSB: Survival under 1 year (Estimated),0204 Samphan,2017,835,,,,,
LSB: Survival under 1 year (Estimated),0204 Samphan,2018,804,,,,,
LSB: Survival under 1 year (Estimated),0204 Samphan,2015,763,,,,,
LSB: Survival under 1 year (Estimated),0204 Samphan,2016,866,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0905 Mok,2017,3594,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0905 Mok,2016,3484,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0905 Mok,2015,3374,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0905 Mok,2019,3809,,,,,
LSB: Women 15-49 years for FP target group (Estimated),0905 Mok,2018,3701,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1204 Hinboun,2021,1125,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1204 Hinboun,2022,1099,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1204 Hinboun,2020,1162,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1204 Hinboun,2023,1073,,,,,
LSB: Births Live (Estimated),0301 Namtha,2017,1555,,,,,
LSB: Births Live (Estimated),0301 Namtha,2018,1524,,,,,
LSB: Survival under 1 year (Estimated),0204 Samphan,2019,774,,,,,
LSB: Births Live (Estimated),0301 Namtha,2019,1493,,,,,
LSB: Population (Estimated-single age),0803 Hongsa,2019,30396,,,,,
LSB: Population (Estimated-single age),0803 Hongsa,2018,30068,,,,,
LSB: Population (Estimated-single age),0803 Hongsa,2017,29705,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1103 Pakkading,2023,1296,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1103 Pakkading,2022,1310,,,,,
LSB: Population (Estimated-single age),0803 Hongsa,2016,29337,,,,,
LSB: Population (Estimated-single age),0803 Hongsa,2015,28961,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1103 Pakkading,2021,1323,,,,,
LSB: Survival under 1 year (Estimated),0605 Nambak,2020,1536,,,,,
LSB: Survival under 1 year (Estimated),0605 Nambak,2021,1523,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1103 Pakkading,2020,1340,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1004 Kasi,2021,10129,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1004 Kasi,2020,9889,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1004 Kasi,2023,10638,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1004 Kasi,2022,10383,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0601 Louangphabang,2023,25672,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0601 Louangphabang,2021,25240,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0601 Louangphabang,2022,25477,,,,,
LSB: Survival under 1 year (Estimated),0605 Nambak,2019,1577,,,,,
LSB: Births Live (Estimated),0903 Nonghet,2017,1240,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1004 Kasi,2018,9442,,,,,
LSB: Births Live (Estimated),0903 Nonghet,2018,1216,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1004 Kasi,2017,9233,,,,,
LSB: Births Live (Estimated),0903 Nonghet,2015,1267,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1004 Kasi,2019,9662,,,,,
LSB: Births Live (Estimated),0903 Nonghet,2016,1263,,,,,
LSB: Children under 5 years (Estimated),1208 Xebangfai,2015,3365,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1004 Kasi,2016,9032,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),1004 Kasi,2015,8828,,,,,
LSB: Children under 5 years (Estimated),1208 Xebangfai,2018,3647,,,,,
LSB: Children under 5 years (Estimated),1208 Xebangfai,2019,3694,,,,,
LSB: Children under 5 years (Estimated),1208 Xebangfai,2016,3483,,,,,
LSB: Population (Estimated-single age),0611 Phoukhoun,2023,26941,,,,,
LSB: Children under 5 years (Estimated),1208 Xebangfai,2017,3577,,,,,
LSB: Survival under 1 year (Estimated),0605 Nambak,2015,1800,,,,,
LSB: Population (Estimated-single age),0611 Phoukhoun,2022,26703,,,,,
LSB: Population (Estimated-single age),0611 Phoukhoun,2021,26464,,,,,
LSB: Survival under 1 year (Estimated),0605 Nambak,2016,1680,,,,,
LSB: Survival under 1 year (Estimated),0605 Nambak,2017,1649,,,,,
LSB: Population (Estimated-single age),0611 Phoukhoun,2020,26170,,,,,
LSB: Survival under 1 year (Estimated),0605 Nambak,2018,1615,,,,,
LSB: Population (Estimated-single age),0611 Phoukhoun,2019,25876,,,,,
LSB: Population (Estimated-single age),0611 Phoukhoun,2018,25544,,,,,
LSB: Population (Estimated-single age),0611 Phoukhoun,2017,25187,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0601 Louangphabang,2018,24247,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0601 Louangphabang,2019,24627,,,,,
LSB: Population (Estimated-single age),0611 Phoukhoun,2016,24792,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0601 Louangphabang,2016,23419,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0601 Louangphabang,2017,23831,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0601 Louangphabang,2015,23016,,,,,
LSB: Births Live (Estimated),0903 Nonghet,2019,1187,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0601 Louangphabang,2020,24961,,,,,
LSB: Births Live (Estimated),0903 Nonghet,2022,1103,,,,,
LSB: Births Live (Estimated),0903 Nonghet,2023,1074,,,,,
LSB: Population (Estimated-single age),0611 Phoukhoun,2015,24392,,,,,
LSB: Births Live (Estimated),0903 Nonghet,2020,1157,,,,,
LSB: Births Live (Estimated),0903 Nonghet,2021,1131,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0405 Beng,2018,1032,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0405 Beng,2017,1039,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0107 Hatxayfong,2023,31588,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1705 Phouvong,2020,4276,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0405 Beng,2019,1022,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0107 Hatxayfong,2022,31250,,,,,
LSB: Births Live (Estimated),1008 Met,2022,429,,,,,
LSB: Births Live (Estimated),1008 Met,2023,433,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0405 Beng,2016,960,,,,,
LSB: Children under 5 years (Estimated),1010 Hinheup,2023,3104,,,,,
LSB: Births Live (Estimated),1008 Met,2020,420,,,,,
LSB: Births Live (Estimated),1008 Met,2021,424,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0107 Hatxayfong,2021,30939,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1705 Phouvong,2022,4485,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1705 Phouvong,2021,4382,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0107 Hatxayfong,2020,30661,,,,,
LSB: Women 15-49 years for FP target group (Estimated),1705 Phouvong,2023,4588,,,,,
LSB: Children under 5 years (Estimated),1010 Hinheup,2021,3191,,,,,
LSB: Children under 5 years (Estimated),1010 Hinheup,2022,3142,,,,,
LSB: Children under 5 years (Estimated),1010 Hinheup,2020,3242,,,,,
LSB: Population (Estimated-single age),0404 Nga,2018,34576,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1603 Bachiangchaleunsouk,2020,1153,,,,,
LSB: Population (Estimated-single age),0404 Nga,2017,33891,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1603 Bachiangchaleunsouk,2021,1147,,,,,
LSB: Population (Estimated-single age),0404 Nga,2016,33187,,,,,
LSB: Population (Estimated-single age),0404 Nga,2015,32485,,,,,
LSB: Births Live (Estimated),1203 Nongbok,2017,1003,,,,,
LSB: Births Live (Estimated),1203 Nongbok,2016,1011,,,,,
LSB: Births Live (Estimated),1203 Nongbok,2019,982,,,,,
LSB: Births Live (Estimated),1203 Nongbok,2018,993,,,,,
LSB: Population (Estimated-single age),0404 Nga,2019,35247,,,,,
LSB: Population (Estimated-single age),0803 Hongsa,2023,31610,,,,,
LSB: Births Live (Estimated),1203 Nongbok,2015,1089,,,,,
LSB: Population (Estimated-single age),0803 Hongsa,2022,31336,,,,,
LSB: Population (Estimated-single age),0803 Hongsa,2021,31030,,,,,
LSB: Population (Estimated-single age),0803 Hongsa,2020,30730,,,,,
LSB: Children under 5 years (Estimated),1010 Hinheup,2015,3226,,,,,
LSB: Children under 5 years (Estimated),1010 Hinheup,2018,3275,,,,,
LSB: Children under 5 years (Estimated),1010 Hinheup,2019,3266,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1603 Bachiangchaleunsouk,2019,1157,,,,,
LSB: Children under 5 years (Estimated),1010 Hinheup,2016,3254,,,,,
LSB: Children under 5 years (Estimated),1010 Hinheup,2017,3271,,,,,
LSB: Survival under 1 year (Estimated),0605 Nambak,2022,1509,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1603 Bachiangchaleunsouk,2017,1156,,,,,
LSB: Survival under 1 year (Estimated),0605 Nambak,2023,1491,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1603 Bachiangchaleunsouk,2018,1158,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),1603 Bachiangchaleunsouk,2016,1352,,,,,
LSB: Population (Estimated-single age),1204 Hinboun,2020,55039,,,,,
LSB: Population (Estimated-single age),1204 Hinboun,2022,56299,,,,,
LSB: Population (Estimated-single age),1204 Hinboun,2021,55671,,,,,
LSB: Population (Estimated-single age),1204 Hinboun,2017,52965,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0405 Beng,2021,10620,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0405 Beng,2022,10802,,,,,
LSB: Population (Estimated-single age),1204 Hinboun,2016,52197,,,,,
LSB: Population (Estimated-single age),1204 Hinboun,2019,54389,,,,,
LSB: Women 15-45 years (Estimated) (Td target group),0405 Beng,2023,10973,,,,,
LSB: Population (Estimated-single age),1204 Hinboun,2018,53699,,,,,
LSB: Population (Estimated-single age),1204 Hinboun,2015,51409,,,,,
LSB: Survival under 1 year (Estimated) (Previous year),0107 Hatxayfong,2016,1831,,,,,
